Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Descripción del proyecto;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;015;17101;61920;2014/000376;2014/000376;ACTUACIONES INVERSIONES FINANCIERAMENTE SOSTENIBLES. PATRIMONIO VERDE;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;00;PARQUES;;;;;;;0,00;203,01;203,01;203,01;0,00;0,00;0,00;0,00;0,00;0,00
;;001;015;17101;61920;2014/000376;2014/030376;ACTUACIONES CERRAMIENTO CON TIPOLOGÍA MURO HISTÓRICO CASA DE CAMPO;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;00;PARQUES;;;;;;;0,00;12.947,00;12.947,00;0,00;0,00;12.947,00;12.947,00;12.947,00;0,00;12.947,00
;;001;015;17101;61920;2014/000376;2015/000306;ACTUACIONES MUROS JARDIN EL CAPRICHO Y ESCALERA ACCESO JARDINES SABATINI;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;00;PARQUES;;;;;;;0,00;12.849,99;12.849,99;0,00;0,00;12.849,99;12.849,99;12.849,99;0,00;12.849,99
;;001;015;17101;61920;2015/000213;2015/000213;FINCA DE TORRE ARIAS. REMODELACIÓN DEL ENTORNO;220;SAN BLAS-CANILLEJAS;09;MEDIO AMBIENTE;00;PARQUES;;;;;;;0,00;1.980.003,00;1.980.003,00;1.959.103,00;0,00;20.900,00;20.900,00;20.900,00;0,00;20.900,00
;;001;015;17101;61920;2015/000592;2015/000592;PARQUE MADRID RÍO. ADAPTACIÓN ÁREAS CANINAS;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;00;PARQUES;;;;;;;0,00;21.497,00;21.497,00;0,38;0,00;21.496,62;21.496,62;21.496,62;0,00;0,00
;;001;015;17101;61920;2015/000593;2015/000593;ACONDICIONAMIENTO PARQUE LINEAL MANZANARES ENTRE C/ MEZQUITA Y CAJA MÁGICA;212;USERA;09;MEDIO AMBIENTE;00;PARQUES;;;;;;;0,00;20.000,00;20.000,00;0,01;0,00;19.999,99;19.999,99;19.999,99;0,00;0,00
;;001;015;17101;61920;2015/006014;2015/006014;IFS-TALUDES EN EL PARQUE DE LA CORNISA. ACONDICIONAMIENTO;201;CENTRO;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;527.000,00;527.000,00;14.000,01;238.418,73;274.581,26;274.581,26;18.150,00;0,00;18.150,00
;;001;015;17101;61920;2015/006015;2015/006015;IFS-PARQUE C/DOMÉNICO SCARLATTI Y PARQUE MUÑOZ REVENGA. REMODELACIÓN ZONAS ESTANCIALES;207;CHAMBERI;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;216.000,00;216.000,00;8.060,50;81.620,10;126.319,40;126.319,40;14.459,50;0,00;14.459,50
;;001;015;17101;61920;2015/006016;2015/006016;IFS-TELEGESTIÓN DEL RIEGO Y RENOVACIÓN TUBERIAS EN DISTRITOS CENTRO, TETUÁN Y CHAMBERÍ;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;227.500,00;227.500,00;13.059,98;81.679,60;132.760,42;132.760,42;14.490,00;0,00;14.490,00
;;001;015;17101;61920;2015/006017;2015/006017;IFS-PARQUES PINOS Y CARLOS PARÍS. MEJORA RIEGO, INFRAESTRUCTURAS  Y ELEMENTOS VEGETALES;206;TETUAN;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;991.000,00;991.000,00;24.121,13;471.243,62;495.635,25;495.635,25;21.659,00;0,00;21.659,00
;;001;015;17101;61920;2015/006018;2015/006018;IFS-DISTRITO DE CHAMBERÍ.MEJORA DE LAS REDES DE RIEGO;207;CHAMBERI;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;379.549,85;379.549,85;363.459,85;0,00;16.090,00;16.090,00;16.090,00;0,00;16.090,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;015;17101;61920;2014/007277;2014/007277;IFS-CASA DE CAMPO. CERRAMIENTO CON TIPOLOGÍA DE MURO HISTÓRICO;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;366.904,37;366.904,37;0,00;0,00;366.904,37;366.904,37;366.904,37;0,00;366.904,37
