Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Descripción proyecto de inversión;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto;Obl. Reconoc. ;C. Ordenado ;Pagos Real;
;;001;002;23270;60900;2018/000536;2018/000536; MEMORIALES ESCULTÓRICO-ARQUITECTÓNICOS EN LUGARES DE MEMORIA Y ESPACIO PÚBLICO;998;VARIOS DISTRITOS;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;90200,00;-90200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;001;002;23270;60900;2018/000536;2018/010536;" ESCULTURA ""EL MADRILES"". ADQUISICIÓN REPRODUCCIÓN EN BRONCE";201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;90200,00;90200,00;0,00;0,00;90200,00;90200,00;90200,00;0,00;90200,00;
;;001;002;33601;60900;2018/006723;2018/006723;IFS-INTERVENCIÓN ESCULTÓRICA EN EL CEMENTERIO DE LA ALMUDENA. MEMORIA HISTÓRICA;215;CIUDAD LINEAL;10;CULTURA;06;ESTATUAS Y MONUMENTOS;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;552790,00;552790,00;552790,00;0,00;0,00;0,00;0,00;0,00;0,00;
4;SC Y CE FINANC. CON RTG;001;002;33601;60900;2018/006611;2018/006611;IFS-MEMORIAL DEPORTADOS MADRILEÑOS/AS;201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;285000,00;285000,00;285000,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;001;002;91230;62500;2018/000342;2018/000342; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;12000,00;-1000,00;11000,00;3915,69;0,00;7084,31;7084,31;7084,31;0,00;0,00;
;;001;002;91230;62599;2018/000342;2018/000342; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2500,00;0,00;2500,00;2342,70;0,00;157,30;157,30;157,30;0,00;0,00;
;;001;002;91230;62601;2018/002003;2018/002003; PRÓRROGA CRÉDITO 001002/91230/62601/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;1000,00;1000,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;001;002;91230;62901;2018/000582;2018/000582; SERVICIOS SECRETARÍA GENERAL DEL PLENO. SEÑALIZACIÓN;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;153,95;0,00;4846,05;4846,05;4846,05;0,00;0,00;
;;001;002;91240;62500;2018/000346;2018/000346; EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;45000,00;-1000,00;44000,00;32589,39;0,00;11410,61;11410,61;5471,32;0,00;0,00;
;;001;002;91240;62599;2018/000346;2018/000346; EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;4921,35;0,00;78,65;78,65;78,65;0,00;0,00;
